identifier	precision	rs_classification	probas
EFO:0000775	medium	02-disease-root	[0.0005505115947128381, 0.9994494773322891, 1.107299814189261e-08]
EFO:0000776	medium	02-disease-root	[0.0014158014321910303, 0.9985721312844007, 1.2067283408126346e-05]
EFO:0000777	high	01-disease-subtype	[0.9995893406295425, 0.0004087218709887415, 1.9374994687660963e-06]
EFO:0000778	high	01-disease-subtype	[0.9992157835662785, 0.0007841880639446404, 2.8369776777358485e-08]
EFO:0000779	high	01-disease-subtype	[0.9995702342531716, 0.0004025759821500246, 2.7189764678453587e-05]
EFO:0000780	medium	02-disease-root	[0.00045565847819572933, 0.9995335607652333, 1.0780756571078864e-05]
EFO:0000781	medium	02-disease-root	[0.00033417342973397394, 0.9996605703264847, 5.256243781421858e-06]
EFO:0000782	medium	02-disease-root	[0.0009001681172526529, 0.9990348671884928, 6.496469425461254e-05]
EFO:0000783	medium	02-disease-root	[9.013803931305e-05, 0.998093397273879, 0.001816464686808084]
EFO:0001054	medium	02-disease-root	[0.0008025860397340369, 0.9991792004481205, 1.8213512145478146e-05]
EFO:0001055	high	01-disease-subtype	[0.9999948035572422, 5.1960888802400445e-06, 3.5387744543296925e-10]
EFO:0001056	high	01-disease-subtype	[0.999875912618963, 0.00012408661720764852, 7.63829321068291e-10]
EFO:0001057	high	01-disease-subtype	[0.9997516651988444, 0.0002483051811049532, 2.9620050880303262e-08]
EFO:0001060	medium	02-disease-root	[1.7723185259784943e-05, 0.9999822680137838, 8.8009563377461e-09]
EFO:0001061	low	03-disease-area	[0.0005978848925575942, 0.0014239483812149482, 0.9979781667262274]
EFO:0001062	medium	02-disease-root	[0.0006964289700794701, 0.9991864369171111, 0.00011713411280945726]
EFO:0001063	medium	02-disease-root	[0.0004776044845253136, 0.9995202028762541, 2.1926392205130783e-06]
EFO:0001064	high	01-disease-subtype	[0.9990662203082127, 0.0009337758627264524, 3.829060898780658e-09]
EFO:0001065	medium	02-disease-root	[0.0007861172274306351, 0.9987180426945822, 0.0004958400779870635]
EFO:0001066	medium	02-disease-root	[0.002650742120649162, 0.9973120510718396, 3.7206807511126965e-05]
EFO:0001067	low	03-disease-area	[1.5766337091062671e-06, 0.00013228014031633364, 0.9998661432259747]
EFO:0001068	medium	02-disease-root	[0.0005998668081938153, 0.9993979959269956, 2.1372648106684516e-06]
EFO:0001069	low	03-disease-area	[1.9926663250347725e-05, 4.2755053675256724e-05, 0.9999373182830743]
EFO:0001071	high	01-disease-subtype	[0.9988025572155272, 0.00028814732007539847, 0.0009092954643975327]
EFO:0001073	medium	02-disease-root	[0.00033527320314369937, 0.999187334090596, 0.0004773927062601982]
EFO:0001074	high	01-disease-subtype	[0.9994463814750134, 0.000549581192439489, 4.037332547227646e-06]
EFO:0001075	medium	02-disease-root	[0.0008549222745514559, 0.9983957795167587, 0.0007492982086899862]
EFO:0001076	low	03-disease-area	[3.3861187413859054e-06, 0.0029948373119330785, 0.9970017765693254]
EFO:0001077	high	01-disease-subtype	[0.9992580037376416, 0.0006206693688170863, 0.00012132689354139667]
EFO:0001078	high	01-disease-subtype	[0.99949603345893, 0.00048214648471315576, 2.1820056356792708e-05]
EFO:0001356	medium	02-disease-root	[0.0008877254967413858, 0.9990273848038677, 8.488969939115791e-05]
EFO:0001357	high	01-disease-subtype	[0.9999439296966526, 5.605515871562456e-05, 1.5144631831875954e-08]
EFO:0001358	medium	02-disease-root	[0.0009814215654373284, 0.9989750388024136, 4.3539632148942226e-05]
EFO:0001361	high	01-disease-subtype	[0.9987932474420037, 0.0010113196371322178, 0.00019543292086413722]
EFO:0001365	medium	02-disease-root	[6.366150585773447e-06, 0.9999930534101154, 5.804392989581361e-07]
EFO:0001376	medium	02-disease-root	[0.00040446998054020824, 0.9995840517859448, 1.1478233515136785e-05]
EFO:0001378	medium	02-disease-root	[4.733858266529166e-05, 0.9999521410747887, 5.203425460813856e-07]
EFO:0001379	low	03-disease-area	[5.7478349651413355e-11, 5.76602810134982e-07, 0.9999994233397115]
EFO:0001380	low	03-disease-area	[8.206287120597927e-05, 0.0009704926510828402, 0.9989474444777111]
EFO:0001416	medium	02-disease-root	[0.0011759571325146165, 0.9986092959158294, 0.00021474695165607033]
EFO:0001421	low	03-disease-area	[1.1622077128717862e-09, 2.2055653030538923e-07, 0.9999997782812621]
EFO:0001422	medium	02-disease-root	[0.0012156638530312395, 0.9985409131000618, 0.00024342304690699634]
EFO:0001423	low	03-disease-area	[2.2622039206761516e-05, 0.00013279412258791366, 0.9998445838382053]
EFO:0001425	high	01-disease-subtype	[0.9979528743316529, 0.0020449550508466505, 2.170617500395339e-06]
EFO:0001642	low	03-disease-area	[4.6332363562096954e-08, 0.00013700703115234917, 0.999862946636484]
EFO:0001645	medium	02-disease-root	[0.00022984438814724085, 0.9989094559247575, 0.0008606996870951383]
EFO:0001663	high	01-disease-subtype	[0.9979902645199328, 0.0018377972421262715, 0.00017193823794075462]
EFO:0001666	medium	02-disease-root	[0.0004981062194609049, 0.9983469715884825, 0.0011549221920566775]
EFO:0001668	medium	02-disease-root	[0.00042842567872161647, 0.9993599219577635, 0.000211652363514807]
EFO:0001675	medium	02-disease-root	[0.0014358360883525722, 0.9984165818364763, 0.00014758207517101085]
EFO:0002087	medium	02-disease-root	[0.0014554111278589376, 0.9984782169458202, 6.637192632081303e-05]
EFO:0002422	low	03-disease-area	[1.6835974565090796e-08, 4.9978586651469246e-05, 0.999950004577374]
EFO:0002423	medium	02-disease-root	[0.0019194980119824228, 0.9980571319542215, 2.337003379623655e-05]
EFO:0002424	medium	02-disease-root	[3.3216447336759586e-06, 0.9984056786753863, 0.0015909996798799822]
EFO:0002425	low	03-disease-area	[0.00018052871090128183, 0.0008354235619602488, 0.9989840477271386]
EFO:0002426	low	03-disease-area	[4.11315558196081e-05, 0.0008281537382069828, 0.9991307147059734]
EFO:0002427	low	03-disease-area	[1.08265585265039e-06, 4.265853304430953e-05, 0.9999562588111032]
EFO:0002428	low	03-disease-area	[0.0002421010122788909, 0.00021011344772828137, 0.9995477855399928]
EFO:0002429	medium	02-disease-root	[0.0029225675719060464, 0.997077430271311, 2.15678287999873e-09]
EFO:0002430	medium	02-disease-root	[0.001617127006681791, 0.9983828727837899, 2.0952819762180595e-10]
EFO:0002431	low	03-disease-area	[1.3173666909438594e-12, 5.676271526422676e-07, 0.99999943237153]
EFO:0002461	low	03-disease-area	[4.515097390607128e-10, 1.0494181642398546e-07, 0.9999998946066739]
EFO:0002496	medium	02-disease-root	[0.0008745222240315122, 0.9991172395265439, 8.238249424575632e-06]
EFO:0002497	high	01-disease-subtype	[0.9975763214986897, 0.0024110174160798742, 1.2661085230480808e-05]
EFO:0002498	medium	02-disease-root	[0.002060987324980639, 0.9979269396199867, 1.2073055032765355e-05]
EFO:0002499	high	01-disease-subtype	[0.9999770716211325, 2.291864026605173e-05, 9.738601303137937e-09]
EFO:0002500	high	01-disease-subtype	[0.9999935838546156, 6.386077655191935e-06, 3.006772926194925e-08]
EFO:0002501	high	01-disease-subtype	[0.9999989582818769, 1.0415851607236055e-06, 1.3296249347252988e-10]
EFO:0002502	medium	02-disease-root	[0.0020333651610059023, 0.9975036674065971, 0.0004629674323970627]
